ID,Type,Negativist,Process,Static,Vortical,Holographic,Causal,Dialectic,Dominant,Creative,Harmonizing,Normalizing
ENFJc_Learn Python - Full Course for Beginners [Tutorial]1035,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ESTP_Are You Too Selfless?252,ESTP_,1,0,1,0,1,0,0,1,0,0,0
ENFJc_Gaming On Youtube Has Changed293,ENFJc,1,1,0,0,0,0,1,0,1,0,0
"ESFJc_How I made $8,000 in THREE weeks of College267",ESFJc,0,0,0,1,0,0,0,0,1,0,0
ESTJc_Day in the life of a nurse | 12 Hour shift208,ESTJc,1,1,0,0,0,0,1,0,1,0,0
ISFJ_ENTP and emotions126,ISFJ_,1,1,0,0,0,0,1,0,0,0,1
ENFJc_Learn Python - Full Course for Beginners [Tutorial]3622,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ISTJc_Creating Opportunities | Think Out Loud With Jay Shetty16,ISTJc,0,0,0,1,0,0,0,0,0,1,0
ESFJc_Improve your Vocabulary: Stop saying VERY!332,ESFJc,0,0,0,1,0,0,0,0,1,0,0
ISTP_How I Learned to Code in 6 Months - And Got Into Google370,ISTP_,0,1,1,0,0,1,0,0,0,0,1
ISTJc_Creating Opportunities | Think Out Loud With Jay Shetty440,ISTJc,0,0,0,1,0,0,0,0,0,1,0
ENTJ_WHAT I LOOK FOR IN A GUY67,ENTJ_,0,0,0,1,0,0,0,1,0,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]926,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ESFJ_What Women Find Attractive In A Man | 17 Traits They Love!237,ESFJ_,0,0,0,1,0,0,0,1,0,0,0
ISTJc_Creating Opportunities | Think Out Loud With Jay Shetty326,ISTJc,0,0,0,1,0,0,0,0,0,1,0
ENTJ_My Minimalist Apartment324,ENTJ_,0,0,0,1,0,0,0,1,0,0,0
ENFJc_Who Are The INFPs?695,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ESFJc_Why I left my Data Science Job at FANG (Facebook Amazon Netflix Google)220,ESFJc,0,0,0,1,0,0,0,0,1,0,0
ISTP_How I Learned to Code in 6 Months - And Got Into Google416,ISTP_,0,1,1,0,0,1,0,0,0,0,1
ENFJc_Learn Python - Full Course for Beginners [Tutorial]3144,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ESFJ_What Women Find Attractive In A Man | 17 Traits They Love!40,ESFJ_,0,0,0,1,0,0,0,1,0,0,0
ENFJc_You Know Someone is an ISTJ When... (Myers Briggs Personality Type Explained)155,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ESTJc_Living with Social Anxiety | my story & advice109,ESTJc,1,1,0,0,0,0,1,0,1,0,0
ESFJc_Why I left my Data Science Job at FANG (Facebook Amazon Netflix Google)12,ESFJc,0,0,0,1,0,0,0,0,1,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]1753,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_You Know Someone is an ISTJ When... (Myers Briggs Personality Type Explained)141,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ESFJc_i quit software engineering to do youtube99,ESFJc,0,0,0,1,0,0,0,0,1,0,0
ESFJ_What Women Find Attractive In A Man | 17 Traits They Love!54,ESFJ_,0,0,0,1,0,0,0,1,0,0,0
ISTP_ISTP Female | Hobbies169,ISTP_,0,1,1,0,0,1,0,0,0,0,1
ESTP_Are You Too Selfless?520,ESTP_,1,0,1,0,1,0,0,1,0,0,0
ESTPc_Is Freelance Web Design Still Viable in 2019-2020?2,ESTPc,1,0,1,0,1,0,0,0,1,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]1747,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Who Are The INFPs?859,ENFJc,1,1,0,0,0,0,1,0,1,0,0
INFJc_How to Be Certain That You Are INFJ289,INFJc,0,0,0,1,0,0,0,0,0,1,0
ISTJc_Creating Opportunities | Think Out Loud With Jay Shetty332,ISTJc,0,0,0,1,0,0,0,0,0,1,0
ISTP_How I Learned to Code in 6 Months - And Got Into Google402,ISTP_,0,1,1,0,0,1,0,0,0,0,1
ESFJc_Why I left my Data Science Job at FANG (Facebook Amazon Netflix Google)234,ESFJc,0,0,0,1,0,0,0,0,1,0,0
ENFJc_Who Are The INFPs?681,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENTJ_My Minimalist Apartment330,ENTJ_,0,0,0,1,0,0,0,1,0,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]3150,ENFJc,1,1,0,0,0,0,1,0,1,0,0
"ENTJ_Fastest Killing Builds in Diablo 2 (Information, History Walk through) - 디아블로 2318",ENTJ_,0,0,0,1,0,0,0,1,0,0,0
ESFJc_Improve your Vocabulary: Stop saying VERY!326,ESFJc,0,0,0,1,0,0,0,0,1,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]3636,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]4159,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ISTP_How I Learned to Code in 6 Months - And Got Into Google364,ISTP_,0,1,1,0,0,1,0,0,0,0,1
ISTJc_Creating Opportunities | Think Out Loud With Jay Shetty454,ISTJc,0,0,0,1,0,0,0,0,0,1,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]932,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ESFJ_What Women Find Attractive In A Man | 17 Traits They Love!223,ESFJ_,0,0,0,1,0,0,0,1,0,0,0
ENTJ_WHAT I LOOK FOR IN A GUY73,ENTJ_,0,0,0,1,0,0,0,1,0,0,0
ENTP_I left my job (and where I've been)48,ENTP_,0,1,1,0,0,1,0,1,0,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]2528,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]1021,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Gaming On Youtube Has Changed287,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ESTP_Are You Too Selfless?246,ESTP_,1,0,1,0,1,0,0,1,0,0,0
"ESFJc_How I made $8,000 in THREE weeks of College273",ESFJc,0,0,0,1,0,0,0,0,1,0,0
ESTJc_Turtlenecks: The Superior Sweater14,ESTJc,1,1,0,0,0,0,1,0,1,0,0
INFJc_How To Spot An ENTP: Body Language308,INFJc,0,0,0,1,0,0,0,0,0,1,0
ENFJ_What I’ve learned about life by observing the ENTP398,ENFJ_,1,1,0,0,0,0,1,1,0,0,0
ISFJ_ENTP and emotions132,ISFJ_,1,1,0,0,0,0,1,0,0,0,1
"ENTJ_Fastest Killing Builds in Diablo 2 (Information, History Walk through) - 디아블로 2330",ENTJ_,0,0,0,1,0,0,0,1,0,0,0
ISFJc_What I Eat in A Week + 3 Year Vegan Update399,ISFJc,1,1,0,0,0,0,1,0,0,1,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]4171,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ESTJ_Type Theory of Carl G Jung: Dominant Extraverted Thinking53,ESTJ_,1,1,0,0,0,0,1,1,0,0,0
ESTJc_How to Get an Internship | Advice from a UC Berkeley Student117,ESTJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]2500,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENTP_I left my job (and where I've been)60,ENTP_,0,1,1,0,0,1,0,1,0,0,0
ESTJ_5 Ways to Optimise your Workspace to Improve Productivity52,ESTJ_,1,1,0,0,0,0,1,1,0,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]1009,ENFJc,1,1,0,0,0,0,1,0,1,0,0
INFJc_How To Spot An ENTP: Body Language320,INFJc,0,0,0,1,0,0,0,0,0,1,0
ISTJc_My Personality Test Results...36,ISTJc,0,0,0,1,0,0,0,0,0,1,0
ESTPc_5 Myths about the INTJ Personality Type98,ESTPc,1,0,1,0,1,0,0,0,1,0,0
ISTP_how hard is it to become a consultant?26,ISTP_,0,1,1,0,0,1,0,0,0,0,1
ENFJc_Why ISTJs are Awesome217,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ESTJc_Living with Social Anxiety | my story & advice653,ESTJc,1,1,0,0,0,0,1,0,1,0,0
ESTJc_Day in the life of a nurse | 12 Hour shift234,ESTJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_You Know Someone is an ISTJ When... (Myers Briggs Personality Type Explained)169,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ISTP_ISTP Female | Hobbies141,ISTP_,0,1,1,0,0,1,0,0,0,0,1
ENFPc_Name Change and Gratitude214,ENFPc,1,0,1,0,1,0,0,0,1,0,0
ESTJc_Living with Social Anxiety | my story & advice135,ESTJc,1,1,0,0,0,0,1,0,1,0,0
ESTP_Are You Too Selfless?508,ESTP_,1,0,1,0,1,0,0,1,0,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]2266,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Who Are The INFPs?871,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENTJ_My Minimalist Apartment318,ENTJ_,0,0,0,1,0,0,0,1,0,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]4617,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]3178,ENFJc,1,1,0,0,0,0,1,0,1,0,0
"ENTJ_Fastest Killing Builds in Diablo 2 (Information, History Walk through) - 디아블로 2456",ENTJ_,0,0,0,1,0,0,0,1,0,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]2272,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Who Are The INFPs?865,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]4603,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ESFJc_Why I left my Data Science Job at FANG (Facebook Amazon Netflix Google)208,ESFJc,0,0,0,1,0,0,0,0,1,0,0
"ENTJ_Fastest Killing Builds in Diablo 2 (Information, History Walk through) - 디아블로 2442",ENTJ_,0,0,0,1,0,0,0,1,0,0,0
ESFJ_What Women Find Attractive In A Man | 17 Traits They Love!68,ESFJ_,0,0,0,1,0,0,0,1,0,0,0
ENFPc_Name Change and Gratitude200,ENFPc,1,0,1,0,1,0,0,0,1,0,0
ISTP_ISTP Female | Hobbies155,ISTP_,0,1,1,0,0,1,0,0,0,0,1
ESTJc_Living with Social Anxiety | my story & advice121,ESTJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Who Are The INFPs?1,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ESTJ_5 Ways to Optimise your Workspace to Improve Productivity46,ESTJ_,1,1,0,0,0,0,1,1,0,0,0
ESTJc_Turtlenecks: The Superior Sweater28,ESTJc,1,1,0,0,0,0,1,0,1,0,0
